"","lon","lat"
"1",-86.451938,32.463778
"2",-87.8890868,30.5187163
"3",-81.1090419,29.2500401
"4",-87.6843081,30.4257603
"5",-85.1563565,31.8887641
"6",-87.1481336,32.9512234
"7",-86.4943199,33.9319697
"8",-85.7167428,32.1466768
"9",-86.7431303,31.6363932
"10",-86.64627,31.8290939
"11",-73.9772797,40.7256263
"12",-85.76314,33.7850205
"13",-122.252361,37.7991048
"14",-85.6508729,34.1615289
"15",-88.2095888,32.0937419
"16",-122.2394092,38.1311584
"17",-87.7759489,31.6942741
"18",-85.8242805,33.2773548
"19",-85.855114,31.318647
"20",-87.7003008,34.7460029
"21",-87.6975347,34.7454783
"22",-74.4981194,39.4396273
"23",-86.4947624,31.2962978
"24",-95.3633981,29.7591983
"25",-86.2650941,31.6933529
"26",-86.8049245,34.2011713
"27",-85.6320048,31.4517944
"28",-87.056025,32.4292722
"29",-86.6823544,36.2546879
"30",-85.9123254,32.5338957
"31",-87.4788916,31.016975
"32",-87.0734952,31.1268079
"33",-88.7233373,43.1902185
"34",-85.9805152,34.0074791
"35",-87.8242179,33.7080266
"36",-87.718347,34.5107725
"37",-88.1473345,34.4581187
"38",-85.8916728,31.0491568
"39",-79.9483102,39.6238091
"40",-88.2657176,42.3350891
"41",-85.4565787,31.2378487
"42",-85.3630079,31.215884
"43",-86.0645747,34.6043579
"44",-86.9908723,33.3722405
"45",-86.801914,33.5059347
"46",-86.7764088,33.4642365
"47",-86.7169497,33.4331483
"48",-86.7883984,33.5076781
"49",-86.8473661,33.4979448
"50",-74.2122213,40.7324223
"51",-86.6676502,33.596457
"52",-87.6826906,34.7939615
"53",-87.2853788,34.4834287
"54",-85.4053903,32.6386458
"55",-76.2007394,40.6835962
"56",-92.3275514,38.9386955
"57",-86.5804893,34.7208528
"58",-96.4669848,32.755147
"59",-87.9914652,34.1267995
"60",-87.8244258,33.9302561
"61",-84.8436105,32.8365989
"62",-86.4218876,34.3650676
"63",-88.0804373,30.6967327
"64",-88.1987853,30.6789138
"65",-88.0805779,30.6973217
"66",-88.1016752,30.707876
"67",-88.1317111,30.6852336
"68",-87.3206816,31.498257
"69",-75.1707037,39.946447
"70",-86.2776022,32.3280315
"71",-86.1748584,32.3760239
"72",-86.2439627,32.3763505
"73",-93.2357895,44.9847105
"74",-88.089069,33.274677
"75",-85.9604299,31.7850747
"76",-95.9937086,36.1587483
"77",-85.010098,32.5074824
"78",-86.8130445,33.2524139
"79",-88.2960195,32.4917057
"80",-86.2555388,33.1644285
"81",-86.0902287,33.4403319
"82",-85.7410034,32.8186652
"83",-85.9697263,32.9300534
"84",-87.5278395,33.2041497
"85",-87.2365408,33.841043
"86",-88.235022,31.4596271
"87",-84.3361281,33.7432101
"88",-15.3457457,64.3605552
"89",-109.6319721,40.3377272
"90",-111.6964566,37.7606486
"91",-77.1802052,35.6250165
"92",-109.2854778,34.1316581
"93",-110.3084953,31.9649438
"94",-109.838086,32.2649125
"95",-85.1211722,30.7409716
"96",-109.8827933,31.4175897
"97",-73.9228243,41.0915759
"98",-111.4634541,36.9176924
"99",-111.6441794,35.2088814
"100",-111.3206462,34.2301338
"101",-110.8268096,33.4060628
"102",-109.7352458,32.8228057
